,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,ALL,dataset_id
742,0.043209877,0.242585972,0,1,5,1,0,0,0.693147181,0.693147181,20,0,0,0.233333333,0.038888889,0.072098765,0.003950617,0,0,0,0.19,0.8,0,0.66,0.2,0.61,0.66,0.194679223,0,0.0379,0,0,1,0.25,0,0,0.502,0.227323558,0.051676,0,20,0.498,0.227323558,0.051676,0,0,0,0,2
743,0.018518519,0.185952959,0,2,8,1,5,5,0.562335145,0.562335145,20,25,2.5,0.266666667,0.031111111,0.026666667,0.021688889,0.05,0.05,0.05,0.4,1,0,0.56,0.2,0.6,0.613333333,0.178885438,0,0.032,0,0,1,0.25,0,0,0.6045,0.191506527,0.03667475,3,20,0.3955,0.191506527,0.03667475,0,0,0,0,2
744,0,0,1,0,0,1,6,6,0.500402424,0.500402424,20,36,3,0.1,0.043333333,0.006666667,0.001688889,0.25,0.25,0.25,0.3,1,0,0.5,0.2,0.7,0.75,0.223606798,0,0.05,0,0,1,0.4,0,0,0.662,0.193225257,0.037336,1,20,0.338,0.193225257,0.037336,0,0,0,0,2
745,0.013888889,0.130812036,1,0,0,1,2,2,0.651756561,0.651756561,14,4,1,0.15,0.0125,0.006666667,0.00617284,0,0,0,0.214285714,0.8,1,0.6,0.2,0.585714286,0.577777778,0.159719141,0,0.025510204,0,1,0,0.214285714,0,0,0.545,0.208489465,0.043467857,2,14,0.455,0.208489465,0.043467857,0,1,1,0,2
746,0.013888889,0,1,1,3,1,6,6,0.257318641,0,14,36,3,0.25,0.0575,0.061666667,0.003888889,0.142857143,0.142857143,0.142857143,0.342857143,1,0,0.2,0.2,0.657142857,0.692307692,0.206031501,0,0.04244898,0,0,1,0.357142857,0,0,0.707142857,0.195354205,0.038163265,1,13,0.292857143,0.195354205,0.038163265,0,0,0,0,2
747,0.041666667,0.130812036,1,1,3,1,2,2,0.651756561,0.651756561,14,4,1,0.35,0.0175,0.042222222,0.022962963,0.071428571,0.071428571,0.071428571,0.442857143,1,0,0.52,0.2,0.557142857,0.577777778,0.229017422,0,0.05244898,0,0,1,0.142857143,0,0,0.539285714,0.221342149,0.048992347,3,14,0.460714286,0.221342149,0.048992347,0,0,0,0,2
748,0.00617284,0.185952959,0,1,3,1,3,3,0.647446639,0.647446639,20,9,1.5,0.1,0.023333333,0.00691358,0.000891358,0.05,0.05,0.05,0.48,1,1,0.542857143,0.2,0.52,0.507692308,0.183303028,0,0.0336,1,0,0,0.15,0,0,0.5425,0.162569216,0.02642875,4,20,0.4575,0.162569216,0.02642875,0,0,0,0,2
749,0.013888889,0,1,1,3,1,5,5,0.410116318,0,14,25,2.5,0.2,0.04,0.007222222,0.006728395,0.214285714,0.214285714,0.214285714,0.385714286,1,0,0.5,0.2,0.614285714,0.633333333,0.266879167,0,0.07122449,0,0,1,0.428571429,0,0,0.687857143,0.194171447,0.037702551,2,14,0.312142857,0.194171447,0.037702551,0,0,0,0,2
750,0.013888889,0,1,1,3,1,6,6,0.257318641,0,14,36,3,0.05,0.0025,0.000555556,0.000555556,0.642857143,0.642857143,0.642857143,0.114285714,1,0,0.2,0.2,0.885714286,0.938461538,0.209956264,0,0.044081633,0,0,1,0.928571429,0,0,0.925,0.067480156,0.004553571,0,13,0.075,0.067480156,0.004553571,0,0,0,0,2
751,0.041666667,0.130812036,1,1,3,1,3,3,0.598269589,0.598269589,14,9,1.5,0.3,0.04,0.051666667,0.014135802,0,0,0,0.2,0.8,0,0.4,0.2,0.6,0.68,0.18516402,0,0.034285714,0,0,1,0.285714286,0,0,0.685714286,0.153516602,0.023567347,1,14,0.314285714,0.153516602,0.023567347,0,0,0,0,2
752,0.013888889,0,1,1,3,1,6,6,0.257318641,0,14,36,3,0.15,0.06,0.057222222,0.00191358,0.142857143,0.142857143,0.142857143,0.328571429,1,0,0.2,0.2,0.671428571,0.707692308,0.208493136,0,0.043469388,0,0,1,0.357142857,0,0,0.692142857,0.194795811,0.037945408,2,13,0.307857143,0.194795811,0.037945408,0,0,0,0,2
753,0.013888889,0,1,1,3,1,6,6,0.257318641,0,14,36,3,0.2,0,0.037222222,0.002654321,0.214285714,0.214285714,0.214285714,0.242857143,1,0,0.4,0.4,0.757142857,0.784615385,0.17202278,0,0.029591837,0,0,1,0.714285714,0,0,0.827142857,0.109180622,0.011920408,0,13,0.172857143,0.109180622,0.011920408,0,0,0,0,2
754,0,0,1,0,0,1,7,-7,0,0,14,49,3.5,0.25,0.0125,0.010555556,0.010555556,0.285714286,0.285714286,0.285714286,0.3,1,0,0.7,0.2,0.7,0.7,0.24784788,0,0.061428571,0,1,0,0.428571429,0,0,0.770714286,0.15082934,0.02274949,3,14,0.229285714,0.15082934,0.02274949,0,1,1,0,2
755,0.013888889,0,1,1,3,1,5,5,0.410116318,0,14,25,2.5,0.1,0.05,0.006666667,0.006666667,0.071428571,0.071428571,0.071428571,0.357142857,1,0,0.5,0.2,0.642857143,0.666666667,0.187899235,0,0.035306122,0,0,1,0.5,0,0,0.744285714,0.133026006,0.017695918,1,14,0.255714286,0.133026006,0.017695918,0,0,0,0,2
756,0.00617284,0.185952959,1,1,3,1,5,5,0.562335145,0.562335145,20,25,2.5,0.166666667,0.008888889,0.008888889,0.009955556,0.1,0.1,0.1,0.37,1,1,0.72,0.2,0.63,0.6,0.192613603,0,0.0371,1,0,0,0.1,0,0,0.5305,0.175882773,0.03093475,1,20,0.4695,0.175882773,0.03093475,0,0,0,0,2
