,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC
263,0.002081165452653487,0.025195091266087877,0.0,3.0,12.0,1.0,0.5,0.5,0.6930917778747354,0.6930917778747354,95.0,0.25,0.25,0.03387096774193543,0.02972903225806451,0.002218315689194807,0.0005220492118416002,0.12631578947368421,0.06315789473684211,0.05263157894736842,0.31789473684210534,1.0,1.0,0.7078723404255319,0.0,0.6821052631578947,0.656875,0.1762348596667891,0.010526315789473684,0.03105872576177285,1.0,0.0,0.22105263157894736,0.0,0.0,0.5365263157894736,0.22438110634905648,0.050346880886426595,6.0,95.0,0.4634736842105263,0.22438110634905648,0.050346880886426595,0.0,0.0,1.0
264,0.0009249624234015477,0.12386656774777421,1.0,2.0,46.0,1.0,36.5,36.5,0.3584510062992733,0.0,95.0,1332.25,18.25,0.06258064516129036,0.010890322580645158,0.010374388888888883,0.0007468001015334589,0.2736842105263158,0.16842105263157894,0.14736842105263157,0.2750526315789472,1.0,0.0,0.5509090909090908,0.1899999999999999,0.7249473684210528,0.7477380952380953,0.192134129049751,0.0,0.03691552354570637,1.0,1.0,0.24210526315789474,0.0,0.0,0.6833684210526314,0.1663579560137894,0.027674969529085883,4.0,95.0,0.31663157894736843,0.16635795601378936,0.027674969529085876,0.0,1.0,1.0
265,0.0027748872702046483,0.04223615804813696,1.0,4.0,20.0,1.0,7.5,7.5,0.6806294878916634,0.6806294878916634,95.0,56.25,3.75,0.07967741935483852,0.016674921956295524,0.008059423324150593,0.0007648331084499924,0.15789473684210525,0.08421052631578947,0.06315789473684211,0.30494736842105263,1.0,1.0,0.72875,0.2299999999999999,0.6950526315789474,0.6705454545454546,0.17724127880978352,0.0,0.03141447091412742,1.0,0.0,0.1368421052631579,0.0,0.0,0.5187368421052632,0.18714611294394468,0.0350236675900277,2.0,95.0,0.4812631578947368,0.18714611294394468,0.0350236675900277,0.0,0.0,0.0
266,0.0022222222222222266,0.12935396255179626,1.0,3.0,51.0,1.0,27.0,27.0,0.5004024235381879,0.5004024235381879,90.0,729.0,13.5,0.029999999999999916,0.018144999999999994,0.004251587805492566,0.0008969926627225839,0.25555555555555554,0.14444444444444443,0.08888888888888889,0.27222222222222237,1.0,0.0,0.595,0.0,0.7277777777777776,0.7609722222222222,0.20713805261106943,0.011111111111111112,0.04290617283950617,1.0,1.0,0.36666666666666664,0.0,0.0,0.6844444444444444,0.21048679616076799,0.04430469135802469,7.0,90.0,0.31555555555555553,0.21048679616076799,0.04430469135802469,0.0,1.0,1.0
267,0.002081165452653487,0.1292193629329002,1.0,3.0,54.0,1.0,28.5,28.5,0.5004024235381879,0.5004024235381879,95.0,812.25,14.25,0.060000000000000164,0.03236670135275755,0.0068802222222222155,0.0010300301809724808,0.29473684210526313,0.23157894736842105,0.2,0.2942105263157895,1.0,0.0,0.5931578947368421,0.0,0.7057894736842105,0.7339473684210528,0.2377729077894922,0.021052631578947368,0.056535955678670355,1.0,1.0,0.3684210526315789,1.0,0.0,0.6262105263157896,0.24609445746391742,0.060562481994459856,4.0,95.0,0.3737894736842105,0.2460944574639174,0.06056248199445984,0.0,1.0,1.0
268,0.0048560527228581375,0.3488215810577843,1.0,5.0,120.0,1.0,37.5,37.5,0.336495757583516,0.0,95.0,1406.25,18.75,0.04516129032258043,0.01759167533818938,0.012434722222222229,0.00034626326683401585,0.28421052631578947,0.22105263157894736,0.16842105263157894,0.25463157894736843,1.0,0.0,0.5449999999999999,0.2,0.7453684210526316,0.7689411764705884,0.19963023991114323,0.0,0.039852232686980606,1.0,1.0,0.29473684210526313,0.0,0.0,0.6763157894736842,0.17622385662965548,0.03105484764542937,3.0,95.0,0.32368421052631574,0.17622385662965548,0.031054847645429366,0.0,1.0,1.0
269,0.00023124060585038694,0.07871968644572899,1.0,1.0,26.0,1.0,38.5,38.5,0.31336227398130245,0.0,95.0,1482.25,19.25,0.03838709677419383,0.007109677419354848,0.006341358024691362,0.00034022594216021225,0.6736842105263158,0.5789473684210527,0.4631578947368421,0.11463157894736842,1.0,0.0,0.5877777777777777,0.29,0.8853684210526316,0.9165116279069768,0.16620095969268675,0.0,0.027622759002770086,1.0,1.0,0.6947368421052632,1.0,0.0,0.8008421052631579,0.21489612255763182,0.04618034349030472,1.0,95.0,0.1991578947368421,0.21489612255763182,0.04618034349030472,0.0,1.0,1.0
270,0.006474736963810841,0.2845034832581004,1.0,6.0,114.0,1.0,30.5,30.5,0.4697935723295532,0.4697935723295532,95.0,930.25,15.25,0.0619354838709677,0.018520499479708623,0.009867687074829936,4.843165935772682e-05,0.42105263157894735,0.28421052631578947,0.21052631578947367,0.1822105263157896,1.0,0.0,0.6964705882352941,0.12,0.8177894736842104,0.8442307692307691,0.17054821171966483,0.010526315789473684,0.02908669252077562,0.0,0.0,0.35789473684210527,0.0,0.0,0.7417894736842107,0.17319887532981404,0.029997850415512468,1.0,95.0,0.25821052631578945,0.17319887532981404,0.029997850415512464,0.0,0.0,0.0
271,0.0030061278760550336,0.13747194564325838,1.0,4.0,60.0,1.0,22.5,22.5,0.5763341277567499,0.5763341277567499,95.0,506.25,11.25,0.08032258064516129,0.03382476586888658,0.0062855284706475265,0.0010126908682208835,0.25263157894736843,0.22105263157894736,0.18947368421052632,0.29063157894736846,1.0,0.0,0.6184,0.0,0.7093684210526315,0.7418571428571429,0.2169783424861413,0.010526315789473684,0.04707960110803324,0.0,0.0,0.28421052631578947,0.0,0.0,0.6478947368421052,0.21200245647455723,0.04494504155124653,9.0,95.0,0.35210526315789475,0.21200245647455723,0.04494504155124653,0.0,0.0,0.0
272,0.00023124060585038694,0.07871968644572899,1.0,1.0,26.0,1.0,39.5,39.5,0.2889343794280412,0.0,95.0,1560.25,19.75,0.05612903225806454,0.02985411030176899,0.03326666666666669,1.8783340954123353e-05,0.3684210526315789,0.28421052631578947,0.25263157894736843,0.1877894736842104,1.0,0.0,0.585,0.24,0.8122105263157896,0.8331034482758621,0.17060992102557979,0.0,0.02910774515235457,1.0,1.0,0.43157894736842106,0.0,0.0,0.7511578947368421,0.1518438474770068,0.023056554016620507,1.0,95.0,0.24884210526315786,0.1518438474770068,0.023056554016620507,0.0,1.0,1.0
