,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,HAC,MR,NA,NONE,SP,WC,dataset_id
14,0.000264236,0.08163941,1,1,24,1,36.5,36.5,0.302277787,0,89,1332.25,18.25,0.052068966,0.022827586,0.030104321,7.83E-05,0.460674157,0.359550562,0.202247191,0.185168539,1,0,0.3425,0,0.814831461,0.861481481,0.22144628,0.04494382,0.049038455,0.617977528,0,0,0.818539326,0.178001077,0.031684383,0.02247191,1,0.181460674,0.178001077,0.031684383,0,1,1,0,0,1,1,1
15,0.003435064,0.15968327,1,4,60,1,22.5,22.5,0.559228061,0.559228061,89,506.25,11.25,0.08137931,0.03758478,0.015781525,0.000563572,0.303370787,0.202247191,0.134831461,0.251685393,1,0,0.555909091,0,0.748314607,0.811492537,0.219858156,0.033707865,0.048337609,0.505617978,0.011235955,0,0.716516854,0.241540473,0.0583418,0.04494382,1,0.283483146,0.241540473,0.0583418,0,1,1,0,0,1,1,1
16,0.000792707,0.024061326,0,2,10,1,1.5,1.5,0.692578963,0.692578963,89,2.25,0.75,0.044827586,0.027149346,0.004301864,0.004180722,0.337078652,0.258426966,0.202247191,0.281573034,1,1,0.778604651,0,0.718426966,0.662173913,0.267661109,0.04494382,0.071642469,0.528089888,0,0,0.616404494,0.29965241,0.089791567,0.033707865,1,0.383595506,0.29965241,0.089791567,0,0,1,0,0,1,0,1
17,0.000264236,0.068595648,1,1,22,1,33.5,33.5,0.374028095,0,89,1122.25,16.75,0.081034483,0.029754102,0.010755556,0.000549772,0.494382022,0.359550562,0.303370787,0.162808989,1,0,0.52,0.01,0.837191011,0.881923077,0.1849202,0.011235955,0.03419548,0.595505618,0.011235955,0,0.81011236,0.171971348,0.029574145,0.011235955,1,0.18988764,0.171971348,0.029574145,0,1,1,0,0,1,1,1
18,0.00184965,0.208738216,1,3,66,1,33.5,33.5,0.374028095,0,89,1122.25,16.75,0.019655172,0.005740547,0.004738889,9.71E-06,0.404494382,0.303370787,0.235955056,0.208764045,1,0,0.363636364,0,0.791235955,0.851538462,0.226605732,0.02247191,0.051350158,0.617977528,0,0,0.805280899,0.178772908,0.031959753,0,1,0.194719101,0.178772908,0.031959753,0,1,1,0,0,1,1,1
19,0.000264236,0.024809487,1,1,10,1,15.5,15.5,0.631195327,0.631195327,89,240.25,7.75,0.130344828,0.045074197,0.017455362,0.000266451,0.280898876,0.157303371,0.112359551,0.277977528,1,0,0.602413793,0.02,0.722022472,0.779833333,0.234569555,0.04494382,0.055022876,0.415730337,0,0,0.634157303,0.264174819,0.069788335,0.04494382,1,0.365842697,0.264174819,0.069788335,0,1,1,0,0,1,1,1
20,0.0073986,0.103549927,1,6,42,1,10.5,10.5,0.665045549,0.665045549,89,110.25,5.25,0.090344828,0.04350654,0.00461977,0.001687486,0.213483146,0.112359551,0.078651685,0.313820225,1,0,0.580294118,0,0.686179775,0.751636364,0.244027562,0.056179775,0.059549451,0.460674157,0,0,0.661573034,0.258469562,0.066806514,0.033707865,1,0.338426966,0.258469562,0.066806514,0,0,0,1,0,1,0,1
21,0.006605892,0.301709818,1,5,100,1,27.5,27.5,0.487685949,0.487685949,89,756.25,13.75,0.037931034,0.03263805,0.014210685,0.001430562,0.303370787,0.191011236,0.08988764,0.264382022,1,0,0.455294118,0.04,0.735617978,0.801805556,0.233300477,0.04494382,0.054429112,0.483146067,0,0,0.739775281,0.194676208,0.037898826,0.02247191,1,0.260224719,0.194676208,0.037898826,0,1,1,0,0,1,1,1
22,0.003435064,0.220070408,1,4,76,1,28.5,28.5,0.471052563,0.471052563,89,812.25,14.25,0.039310345,0.037939596,0.038859722,0.0006797,0.393258427,0.280898876,0.202247191,0.216404494,1,0,0.499375,0.04,0.783595506,0.845890411,0.223818984,0.02247191,0.050094938,0.561797753,0,0,0.766741573,0.208648811,0.043534326,0,1,0.233258427,0.208648811,0.043534326,0,1,1,0,0,1,1,1
23,0.000740741,0.067591521,1,2,28,1,21,21,0.579915171,0.579915171,90,441,10.5,0.157666667,0.023943,0.000819771,0.009454573,0.277777778,0.177777778,0.155555556,0.330333333,1,1,0.79625,0,0.669666667,0.623636364,0.286090312,0.066666667,0.081847667,0.4,0,0,0.557,0.278701154,0.077674333,0.033333333,1,0.443,0.278701154,0.077674333,0,0,1,0,0,1,1,1
24,0.003435064,0.111060875,1,4,44,1,15.5,15.5,0.631195327,0.631195327,89,240.25,7.75,0.075862069,0.036019263,0.008285088,0.000202584,0.280898876,0.112359551,0.08988764,0.294044944,1,0,0.524137931,0.04,0.705955056,0.793833333,0.227446594,0.033707865,0.051731953,0.359550562,0.011235955,0,0.663146067,0.231742765,0.053704709,0.04494382,1,0.336853933,0.231742765,0.053704709,0,0,0,1,1,0,0,1
25,0.0073986,0.204032478,1,6,78,1,21.5,21.5,0.571405134,0.571405134,89,462.25,10.75,0.03862069,0.008827111,0.002236336,0.000235788,0.393258427,0.303370787,0.258426966,0.308202247,1,1,0.812608696,0,0.691797753,0.64969697,0.326832128,0.146067416,0.10681924,0.640449438,0,0,0.512247191,0.361556413,0.13072304,0.02247191,1,0.487752809,0.361556413,0.13072304,0,0,1,0,0,1,1,1
