,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,dataset_id
496,0.003209877,0.136111745,1,4,56,1,22,22,0.568356643,0.568356643,90,484,11,0.069666667,0.037423444,0.005742597,0.000888708,0.333333333,0.211111111,0.133333333,0.28,1,0,0.536956522,0.07,0.72,0.782835821,0.235438126,0.033333333,0.055431111,1,1,0,0.422222222,0,0,0.683111111,0.223002962,0.049730321,5,90,0.316888889,0.223002962,0.049730321,0,1,1,1
499,0.002222222,0.205631182,1,3,69,1,36,36,0.325082973,0,90,1296,18,0.062666667,0.025388889,0.028467747,0.000626849,0.555555556,0.411111111,0.3,0.169333333,1,0,0.422222222,0.02,0.830666667,0.876049383,0.219710921,0.033333333,0.048272889,1,1,0,0.633333333,0,0,0.804888889,0.178824833,0.031978321,4,90,0.195111111,0.178824833,0.031978321,0,1,1,1
500,0.009135802,0.365934275,1,7,133,1,28,28,0.484607825,0.484607825,90,784,14,0.024666667,0.023417444,0.016099421,3.02E-07,0.588888889,0.5,0.444444444,0.168666667,1,0,0.518823529,0.12,0.831333333,0.904109589,0.228060421,0.022222222,0.052011556,1,1,0,0.688888889,0,0,0.796333333,0.233473529,0.054509889,4,90,0.203666667,0.233473529,0.054509889,0,1,1,1
501,0.000740741,0.036497499,1,2,16,1,12,12,0.657157761,0.657157761,90,144,6,0.102,0.004517333,0.007483776,0.000698903,0.222222222,0.177777778,0.111111111,0.283333333,1,0,0.61969697,0.02,0.716666667,0.772807018,0.214952191,0.011111111,0.046204444,1,1,0,0.366666667,0,0,0.624222222,0.252102174,0.063555506,3,90,0.375777778,0.252102174,0.063555506,0,1,1,1
502,0.001728395,0.110461879,1,3,45,1,23,23,0.556149027,0.556149027,90,529,11.5,0.071,0.011058333,0.004843432,0.00047165,0.522222222,0.433333333,0.366666667,0.208555556,1,0,0.769545455,0,0.791444444,0.798529412,0.272174622,0.033333333,0.074079025,1,1,0,0.622222222,0,0,0.599777778,0.343255583,0.117824395,0,90,0.400222222,0.343255583,0.117824395,0,1,1,1
503,0.000246914,0.080152947,1,1,25,1,37,37,0.299959552,0,90,1369,18.5,0.007333333,0.005871444,0.049276543,0.000299301,0.488888889,0.422222222,0.333333333,0.175666667,1,0,0.54875,0.13,0.824333333,0.851219512,0.19316113,0.011111111,0.037311222,1,1,0,0.633333333,0,0,0.812777778,0.194319484,0.037760062,2,90,0.187222222,0.194319484,0.037760062,0,1,1,1
504,0.000740741,0.046293459,1,2,20,1,15,15,0.636514168,0.636514168,90,225,7.5,0.082,0.051336,0.000753265,0.001314537,0.466666667,0.355555556,0.311111111,0.207888889,1,0,0.689666667,0,0.792111111,0.843333333,0.241101613,0.033333333,0.058129988,1,1,0,0.511111111,1,0,0.612444444,0.304252494,0.09256958,1,90,0.387555556,0.304252494,0.09256958,0,1,1,1
505,0.002962963,0.136111745,1,4,56,1,21,21,0.579915171,0.579915171,90,441,10.5,0.089,0.043921778,0.00156782,0.002024765,0.477777778,0.4,0.311111111,0.210555556,1,0,0.779166667,0.03,0.789444444,0.793181818,0.23576995,0.011111111,0.055587469,1,1,0,0.577777778,1,0,0.594888889,0.329818955,0.108780543,4,90,0.405111111,0.329818955,0.108780543,0,1,1,1
506,0.003209877,0.304416463,1,4,96,1,37,37,0.299959552,0,90,1369,18.5,0.072666667,0.041753333,0.000605556,0.000697221,0.577777778,0.522222222,0.466666667,0.152333333,1,0,0.5425,0.04,0.847666667,0.877439024,0.217623783,0.022222222,0.047360111,1,1,0,0.733333333,0,0,0.808,0.217302656,0.047220444,2,90,0.192,0.217302656,0.047220444,0,1,1,1
507,0.001728395,0.07724259,1,3,33,1,17,17,0.619986802,0.619986802,90,289,8.5,0.065,0.009042333,0.002119354,0.001656527,0.188888889,0.1,0.077777778,0.334333333,1,0,0.566428571,0.07,0.665666667,0.710483871,0.22286543,0.033333333,0.049669,1,1,0,0.344444444,0,0,0.608555556,0.245495241,0.060267914,5,90,0.391444444,0.245495241,0.060267914,0,1,1,1
