,Answer,Confidence,Class,Less than 17 moves,17 moves,18 moves,19 moves,20 moves,More than 20 moves,sum_prediction
87,19 moves,1.0,0,0.0,0.0,0.1,0.6,0.2,0.1,0.9999999999999999
88,19 moves,0.7,0,0.05,0.15,0.2,0.25,0.2,0.15,1.0
89,More than 20 moves,1.0,0,0.02,0.08,0.1,0.15,0.5,0.15,1.0
90,18 moves,0.8,1,0.0,0.1,0.3,0.2,0.1,0.3,1.0
91,18 moves,0.8,1,0.05,0.1,0.25,0.2,0.2,0.2,1.0
92,More than 20 moves,0.9,0,0.1,0.1,0.2,0.2,0.1,0.3,1.0
93,17 moves,1.0,0,0.2,0.16,0.16,0.16,0.16,0.16,1.0
94,18 moves,0.7,1,0.0,0.05,0.75,0.15,0.0,0.05,1.0
95,Less than 17 moves,0.2,0,0.2,0.25,0.2,0.15,0.1,0.1,1.0
96,18 moves,0.6,1,0.0,0.15,0.3,0.25,0.1,0.2,1.0
97,18 moves,0.7,1,0.1,0.2,0.3,0.2,0.1,0.1,1.0
98,17 moves,0.5,0,0.05,0.7,0.25,0.0,0.0,0.0,1.0
99,More than 20 moves,1.0,0,0.0,0.1,0.1,0.2,0.2,0.4,1.0
100,Less than 17 moves,0.6,0,0.7,0.1,0.1,0.1,0.0,0.0,0.9999999999999999
101,17 moves,0.8,0,0.6,0.1,0.1,0.05,0.05,0.1,1.0
102,More than 20 moves,0.8,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
103,More than 20 moves,0.1,0,0.0,0.0,0.0,0.4,0.2,0.4,1.0
104,18 moves,0.2,1,0.15,0.25,0.25,0.25,0.05,0.05,1.0
105,20 moves,0.7,0,0.1,0.1,0.1,0.3,0.3,0.1,1.0000000000000002
106,18 moves,0.9,1,0.0,0.05,0.25,0.35,0.25,0.1,0.9999999999999999
107,17 moves,0.7,0,0.05,0.3,0.1,0.3,0.15,0.1,1.0
108,Less than 17 moves,0.2,0,0.05,0.1,0.1,0.15,0.4,0.2,1.0
109,19 moves,0.5,0,0.05,0.1,0.15,0.5,0.1,0.1,1.0
110,More than 20 moves,0.4,0,0.0,0.05,0.05,0.1,0.2,0.6,1.0
111,20 moves,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
112,More than 20 moves,0.1,0,0.1,0.1,0.3,0.3,0.1,0.1,1.0
