,Answer,Confidence,Class,Less than 7 moves,7 moves,8 moves,9 moves,10 moves,More than 10 moves,sum_prediction
33,More than 10 moves,1.0,0,0.2,0.2,0.2,0.0,0.2,0.2,1.0
34,10 moves,0.7,0,0.1,0.25,0.3,0.2,0.1,0.05,0.9999999999999999
35,9 moves,1.0,0,0.07,0.07,0.08,0.09,0.1,0.59,1.0
36,8 moves,0.8,1,0.0,0.0,0.9,0.1,0.0,0.0,1.0
37,9 moves,0.9,0,0.1,0.15,0.2,0.2,0.2,0.15,1.0
38,8 moves,0.7,1,0.1,0.15,0.3,0.2,0.15,0.1,1.0
39,Less than 7 moves,0.9,0,0.0,0.84,0.16,0.0,0.0,0.0,1.0
40,7 moves,0.6,0,0.2,0.5,0.1,0.1,0.1,0.0,0.9999999999999999
41,8 moves,0.9,1,0.0,0.0,0.45,0.1,0.25,0.2,1.0
42,7 moves,0.6,0,0.1,0.5,0.2,0.1,0.05,0.05,1.0
43,8 moves,0.8,1,0.03,0.2,0.6,0.1,0.05,0.02,1.0
44,8 moves,0.8,1,0.05,0.05,0.75,0.05,0.05,0.05,1.0
45,10 moves,0.5,0,0.0,0.0,0.05,0.1,0.55,0.3,1.0
46,10 moves,1.0,0,0.5,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
47,8 moves,0.7,1,0.1,0.2,0.2,0.3,0.1,0.1,1.0
48,7 moves,0.9,0,0.1,0.2,0.25,0.15,0.2,0.1,1.0000000000000002
49,9 moves,0.9,0,0.0,0.1,0.2,0.4,0.2,0.1,1.0000000000000002
50,8 moves,0.8,1,0.1,0.5,0.3,0.1,0.0,0.0,0.9999999999999999
51,8 moves,1.0,1,0.0,0.25,0.65,0.1,0.0,0.0,1.0
52,8 moves,0.7,1,0.2,0.2,0.2,0.2,0.2,0.0,1.0
53,8 moves,0.8,1,0.0,0.3,0.3,0.2,0.1,0.1,1.0
54,Less than 7 moves,0.2,0,0.35,0.35,0.2,0.05,0.05,0.0,1.0
55,10 moves,0.8,0,0.4,0.2,0.1,0.1,0.1,0.1,1.0
56,8 moves,0.9,1,0.0,0.1,0.7,0.1,0.1,0.0,0.9999999999999999
57,More than 10 moves,1.0,0,0.05,0.15,0.1,0.1,0.2,0.4,1.0
58,8 moves,1.0,1,0.0,0.05,0.95,0.0,0.0,0.0,1.0
59,7 moves,0.7,0,0.05,0.25,0.4,0.25,0.05,0.0,1.0
60,8 moves,0.2,1,0.02,0.25,0.5,0.18,0.03,0.02,1.0
61,10 moves,1.0,0,0.0,0.0,0.3,0.4,0.2,0.1,0.9999999999999999
62,8 moves,1.0,1,0.1,0.2,0.23,0.25,0.02,0.2,1.0
63,8 moves,0.7,1,0.2,0.2,0.25,0.25,0.05,0.05,1.0
64,8 moves,0.2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
65,8 moves,0.5,1,0.1,0.2,0.5,0.1,0.1,0.0,1.0
66,8 moves,0.5,1,0.1,0.2,0.25,0.25,0.1,0.1,1.0
67,10 moves,1.0,0,0.16,0.17,0.08,0.2,0.25,0.14,1.0
68,Less than 7 moves,0.8,0,0.05,0.15,0.15,0.2,0.25,0.2,1.0
69,7 moves,0.8,0,0.0,0.05,0.4,0.4,0.1,0.05,1.0
70,8 moves,0.7,1,0.1,0.2,0.2,0.3,0.1,0.1,1.0
71,9 moves,0.9,0,0.1,0.25,0.2,0.1,0.25,0.1,1.0
72,8 moves,0.7,1,0.05,0.1,0.6,0.15,0.1,0.0,1.0
73,9 moves,0.6,0,0.1,0.25,0.25,0.2,0.1,0.1,1.0
74,8 moves,0.3,1,0.1,0.15,0.5,0.1,0.1,0.05,1.0
75,7 moves,1.0,0,0.0,0.25,0.3,0.3,0.1,0.05,1.0
76,More than 10 moves,0.5,0,0.2,0.2,0.2,0.1,0.1,0.2,1.0
77,9 moves,0.6,0,0.05,0.1,0.1,0.15,0.2,0.4,1.0
78,8 moves,0.9,1,0.0,0.01,0.2,0.5,0.19,0.1,0.9999999999999999
79,8 moves,0.6,1,0.1,0.1,0.5,0.1,0.1,0.1,0.9999999999999999
80,9 moves,0.6,0,0.1,0.08,0.08,0.2,0.3,0.24,1.0
81,More than 10 moves,0.5,0,0.03,0.07,0.15,0.2,0.2,0.35,1.0
82,9 moves,0.8,0,0.0,0.25,0.45,0.25,0.05,0.0,1.0
83,10 moves,0.7,0,0.05,0.05,0.4,0.05,0.1,0.35,1.0
84,8 moves,0.9,1,0.0,0.0,0.7,0.2,0.05,0.05,1.0
85,7 moves,0.1,0,0.02,0.08,0.4,0.25,0.2,0.05,1.0
86,More than 10 moves,0.9,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
87,More than 10 moves,1.0,0,0.1,0.2,0.1,0.3,0.2,0.1,0.9999999999999999
88,7 moves,0.1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
89,More than 10 moves,1.0,0,0.05,0.1,0.15,0.2,0.25,0.25,1.0
90,7 moves,0.4,0,0.02,0.05,0.2,0.33,0.1,0.3,1.0
91,8 moves,1.0,1,0.0,0.2,0.5,0.1,0.1,0.1,0.9999999999999999
92,8 moves,0.9,1,0.0,0.01,0.75,0.2,0.03,0.01,1.0
93,8 moves,0.8,1,0.0,0.05,0.35,0.4,0.1,0.1,1.0
94,8 moves,0.9,1,0.0,0.0,0.6,0.2,0.05,0.15,1.0
95,8 moves,1.0,1,0.0,0.0,0.75,0.1,0.1,0.05,1.0
96,8 moves,0.6,1,0.15,0.35,0.2,0.15,0.1,0.05,1.0
97,7 moves,0.9,0,0.1,0.3,0.15,0.3,0.1,0.05,1.0
98,8 moves,1.0,1,0.0,0.1,0.6,0.1,0.1,0.1,0.9999999999999999
99,10 moves,0.8,0,0.0,0.1,0.1,0.3,0.4,0.1,1.0
100,8 moves,0.8,1,0.2,0.3,0.2,0.1,0.1,0.1,0.9999999999999999
101,7 moves,1.0,0,0.16,0.16,0.16,0.16,0.16,0.2,1.0
102,8 moves,0.9,1,0.0,0.1,0.85,0.05,0.0,0.0,1.0
103,8 moves,0.6,1,0.15,0.2,0.6,0.05,0.0,0.0,1.0
104,8 moves,0.8,1,0.0,0.4,0.6,0.0,0.0,0.0,1.0
105,8 moves,0.9,1,0.1,0.2,0.2,0.1,0.1,0.3,1.0
106,7 moves,0.8,0,0.4,0.4,0.1,0.1,0.0,0.0,1.0
107,10 moves,1.0,0,0.05,0.1,0.15,0.25,0.2,0.25,1.0
108,9 moves,0.8,0,0.0,0.0,0.1,0.6,0.2,0.1,0.9999999999999999
109,7 moves,0.8,0,0.5,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
110,7 moves,0.7,0,0.2,0.3,0.2,0.1,0.1,0.1,0.9999999999999999
111,7 moves,0.3,0,0.2,0.5,0.2,0.1,0.0,0.0,0.9999999999999999
112,9 moves,0.2,0,0.2,0.2,0.3,0.2,0.05,0.05,1.0
113,9 moves,0.9,0,0.1,0.1,0.2,0.5,0.05,0.05,1.0
114,8 moves,1.0,1,0.0,0.1,0.8,0.05,0.05,0.0,1.0
115,Less than 7 moves,0.6,0,0.3,0.4,0.2,0.1,0.0,0.0,0.9999999999999999
116,7 moves,0.5,0,0.0,0.15,0.6,0.2,0.05,0.0,1.0
117,10 moves,0.1,0,0.5,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
118,8 moves,0.8,1,0.0,0.1,0.8,0.1,0.0,0.0,1.0
119,7 moves,0.7,0,0.25,0.1,0.15,0.25,0.1,0.15,1.0
120,More than 10 moves,1.0,0,0.05,0.1,0.1,0.1,0.2,0.45,1.0
