,Answer,Confidence,Class,1,2,3,4,8,10,16,60,sum_prediction
109,8,1.0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0
110,10,0.3,0,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,1.0
111,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
112,1,1.0,0,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,1.0
113,1,0.2,0,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,1.0
114,4,0.1,0,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,1.0
115,8,0.5,0,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,1.0
116,8,0.8,0,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,1.0
117,8,1.0,0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,1.0
118,8,1.0,0,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,1.0
119,8,0.4,0,0.2,0.05,0.1,0.15,0.35,0.1,0.05,0.0,1.0
120,1,0.6,0,0.3,0.15,0.05,0.1,0.15,0.15,0.1,0.0,1.0
121,1,1.0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
122,1,1.0,0,0.7,0.0,0.0,0.0,0.15,0.0,0.15,0.0,1.0
123,1,0.8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,4,0.7,0,0.05,0.1,0.1,0.4,0.35,0.0,0.0,0.0,1.0
125,1,0.9,0,0.25,0.15,0.1,0.25,0.25,0.0,0.0,0.0,1.0
126,1,0.9,0,0.6,0.05,0.05,0.05,0.25,0.0,0.0,0.0,1.0
129,8,0.6,0,0.0,0.0,0.0,0.35,0.6,0.05,0.0,0.0,1.0
130,8,0.7,0,0.0,0.0,0.0,0.0,0.75,0.1,0.05,0.1,1.0
131,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
132,8,0.8,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0
133,10,0.2,0,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0.0,1.0
134,10,0.2,0,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,1.0
135,8,0.6,0,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0.0,1.0
136,1,0.4,0,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,1.0
137,8,0.9,0,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,1.0
138,8,0.7,0,0.0,0.0,0.0,0.1,0.8,0.05,0.05,0.0,1.0
139,1,0.6,0,0.25,0.05,0.1,0.15,0.45,0.0,0.0,0.0,1.0
140,8,0.8,0,0.1,0.05,0.0,0.1,0.75,0.0,0.0,0.0,1.0
141,16,1.0,0,0.0,0.0,0.0,0.0,0.45,0.05,0.5,0.0,1.0
142,1,0.6,0,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,1.0000000000000002
143,8,0.9,0,0.1,0.15,0.1,0.1,0.45,0.1,0.0,0.0,0.9999999999999999
144,1,0.8,0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,1.0
145,8,0.8,0,0.0,0.05,0.15,0.15,0.6,0.05,0.0,0.0,1.0
146,1,0.8,0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0
147,8,0.5,0,0.1,0.05,0.05,0.05,0.5,0.0,0.1,0.15,1.0
148,2,1.0,0,0.0,0.1,0.1,0.25,0.4,0.1,0.05,0.0,1.0
149,4,0.4,0,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,1.0
150,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
151,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
152,8,0.5,0,0.05,0.0,0.0,0.1,0.25,0.1,0.3,0.2,1.0
153,8,0.3,0,0.15,0.0,0.05,0.1,0.6,0.05,0.05,0.0,1.0
154,8,0.1,0,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,1.0
155,3,0.5,1,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,1.0
156,3,1.0,1,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,1.0
