,Answer,Confidence,Class,1 mile,2 miles,3 miles,4 miles,5 miles,6 miles,7 miles,8 miles,9 miles,10 miles,11 miles,12 miles,sum_prediction
31,2 miles,0.1,0,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.1,1.0
32,3 miles,0.1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,3 miles,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.05,0.1,0.1,0.0,1.0
34,2 miles,0.1,0,0.1,0.1,0.3,0.15,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,1.0
35,5 miles,0.1,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,8 miles,0.3,0,0.0,0.0,0.05,0.1,0.1,0.15,0.15,0.15,0.05,0.1,0.1,0.05,1.0
37,2 miles,0.1,0,0.1,0.15,0.15,0.1,0.05,0.05,0.05,0.1,0.1,0.15,0.0,0.0,1.0
38,3 miles,0.1,0,0.1,0.2,0.2,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,10 miles,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.75,0.05,0.05,1.0
40,10 miles,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,1.0
41,9 miles,0.2,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.25,0.1,0.15,0.05,1.0
42,5 miles,0.3,0,0.0,0.0,0.2,0.3,0.35,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,10 miles,0.9,1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.7,0.0,0.0,1.0
44,8 miles,0.1,0,0.1,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.2,0.1,0.1,1.0
45,5 miles,0.1,0,0.1,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0
46,5 miles,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,5 miles,0.1,0,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,1.0
