,Answer,Confidence,Class,Picture A,Picture B,Picture C,Picture D,Picture E,Picture F,sum_prediction
0,Picture B,0.5,0,0.15,0.2,0.15,0.15,0.2,0.15,1.0
1,Picture C,0.7,0,0.15,0.12,0.4,0.1,0.13,0.1,1.0
2,Picture E,0.8,0,0.05,0.05,0.3,0.3,0.2,0.1,0.9999999999999999
3,Picture A,0.8,0,0.65,0.05,0.1,0.1,0.05,0.05,1.0
4,Picture A,0.7,0,0.5,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
5,Picture E,0.8,0,0.1,0.2,0.2,0.1,0.3,0.1,0.9999999999999999
6,Picture D,0.9,1,0.05,0.05,0.05,0.75,0.05,0.05,1.0
7,Picture C,0.8,0,0.1,0.1,0.5,0.1,0.1,0.1,0.9999999999999999
8,Picture E,0.7,0,0.1,0.1,0.3,0.05,0.4,0.05,1.0
9,Picture C,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,Picture D,1.0,1,0.0,0.0,0.2,0.8,0.0,0.0,1.0
11,Picture D,0.6,1,0.05,0.05,0.05,0.75,0.05,0.05,1.0
12,Picture E,0.8,0,0.3,0.2,0.2,0.2,0.0,0.1,0.9999999999999999
13,Picture E,0.1,0,0.1,0.2,0.2,0.3,0.1,0.1,1.0
14,Picture D,1.0,1,0.1,0.2,0.25,0.1,0.2,0.15,1.0
15,Picture D,0.8,1,0.1,0.2,0.1,0.4,0.1,0.1,1.0
16,Picture D,0.8,1,0.1,0.1,0.1,0.4,0.1,0.2,1.0
17,Picture D,0.4,1,0.05,0.05,0.3,0.25,0.1,0.25,1.0
18,Picture F,1.0,0,0.0,0.0,0.0,0.2,0.2,0.6,1.0
19,Picture C,0.7,0,0.2,0.15,0.3,0.15,0.1,0.1,0.9999999999999999
20,Picture D,0.5,1,0.1,0.2,0.1,0.5,0.05,0.05,1.0
21,Picture B,1.0,0,0.1,0.5,0.1,0.1,0.1,0.1,0.9999999999999999
22,Picture A,0.9,0,0.5,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
23,Picture C,0.5,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
24,Picture B,0.5,0,0.1,0.4,0.2,0.1,0.1,0.1,0.9999999999999999
25,Picture D,0.8,1,0.0,0.0,0.25,0.5,0.2,0.05,1.0
26,Picture F,0.9,0,0.0,0.0,0.3,0.0,0.0,0.7,1.0
27,Picture E,0.2,0,0.2,0.1,0.3,0.1,0.1,0.2,1.0
28,Picture D,1.0,1,0.05,0.0,0.3,0.55,0.05,0.05,1.0
29,Picture D,1.0,1,0.2,0.2,0.1,0.5,0.0,0.0,1.0
30,Picture F,0.6,0,0.2,0.15,0.2,0.15,0.2,0.1,1.0000000000000002
